Disease ID	Disease Label
OMIM:201300	Neuropathy, hereditary sensory and autonomic, type II
OMIM:201910	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency
OMIM:203200	Albinism, oculocutaneous, type II
OMIM:203290	Albinism, oculocutaneous, type III
OMIM:206700	Gillespie syndrome
OMIM:208920	Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia
OMIM:209900	Bardet-Biedl syndrome 1
OMIM:212050	Immunodeficiency 103, susceptibility to fungal infection
OMIM:214500	Chediak-Higashi syndrome
OMIM:214800	CHARGE syndrome
OMIM:215470	Boucher-Neuhauser syndrome
OMIM:215700	Citrullinemia
OMIM:216400	Cockayne syndrome, type A
OMIM:216550	Cohen syndrome
OMIM:219100	Cutis laxa, autosomal recessive, type IA
OMIM:220400	Jervell and Lange-Nielsen syndrome
OMIM:222300	Wolfram syndrome 1
OMIM:222470	Trichohepatoenteric syndrome 1
OMIM:223800	Dyggve-Melchior-Clausen disease
OMIM:227645	Fanconi anemia, complementation group C
OMIM:228600	Hyaline fibromatosis syndrome
OMIM:230400	Galactosemia
OMIM:230650	GM1-gangliosidosis, type III
OMIM:230740	GAPO syndrome
OMIM:231050	Geleophysic dysplasia 1
OMIM:231670	Glutaricaciduria, type I
OMIM:232700	Glycogen storage disease VI
OMIM:233710	Chronic granulomatous disease 2, autosomal recessive
OMIM:234200	Neurodegeneration with brain iron accumulation 1
OMIM:236200	Homocystinuria, B6-responsive and nonresponsive types
OMIM:240300	Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia
OMIM:241850	Bamforth-Lazarus syndrome
OMIM:242840	Vici syndrome
OMIM:243700	Hyper-IgE syndrome 2, autosomal recessive, with recurrent infections
OMIM:245200	Krabbe disease
OMIM:246200	Donohue syndrome
OMIM:248250	Hypomagnesemia 3, renal
OMIM:250410	Retinitis pigmentosa with or without skeletal anomalies
OMIM:252600	Mucolipidosis III alpha/beta
OMIM:252650	Mucolipidosis IV
OMIM:256300	Nephrotic syndrome, type 1
OMIM:256500	Netherton syndrome
OMIM:256540	Galactosialidosis
OMIM:256810	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)
OMIM:257220	Niemann-Pick disease, type C1
OMIM:258480	Opsismodysplasia
OMIM:259440	Osteogenesis imperfecta, type IX
OMIM:260000	Hyperoxaluria, primary, type II
OMIM:260300	Parkinson disease 15, autosomal recessive
OMIM:264700	Vitamin D-dependent rickets, type I
OMIM:266265	Congenital disorder of glycosylation, type IIc
OMIM:268310	Robinow syndrome, autosomal recessive
OMIM:269150	Schinzel-Giedion midface retraction syndrome
OMIM:270400	Smith-Lemli-Opitz syndrome
OMIM:270420	Diarrhea 3, secretory sodium, congenital, syndromic
OMIM:271640	Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures
OMIM:272300	Sulfite oxidase deficiency
OMIM:273900	Thrombocytopenia 3
OMIM:275400	Oliver-McFarlane syndrome
OMIM:277300	Spondylocostal dysostosis 1, autosomal recessive
OMIM:277600	Weill-Marchesani syndrome 1, recessive
OMIM:277700	Werner syndrome
OMIM:300088	Developmental and epileptic encephalopathy 9
OMIM:300209	Simpson-Golabi-Behmel syndrome, type 2
OMIM:300352	Cerebral creatine deficiency syndrome 1
OMIM:300707	STAR syndrome
OMIM:300804	Joubert syndrome 10
OMIM:300867	Kabuki syndrome 2
OMIM:300868	Multiple congenital anomalies-hypotonia-seizures syndrome 2
OMIM:301040	Alpha-thalassemia/impaired intellectual development syndrome
OMIM:301072	Neurodevelopmental disorder with epilepsy and hemochromatosis
OMIM:301109	Autoinflammatory disease, multisystem, with immune dysregulation, X-linked
OMIM:301111	Intellectual developmental disorder, X-linked 112
OMIM:301114	Lui-Jee-Baron syndrome
OMIM:301115	Immunodeficiency 118, mycobacteriosis
OMIM:301116	Intellectual developmental disorder, X-linked 113
OMIM:301118	Intellectual developmental disorder, X-linked syndromic 37
OMIM:301119	Spermatogenic failure, X-linked, 8, susceptibility to
OMIM:301134	Intellectual developmental disorder, X-linked 114
OMIM:301310	Anemia, sideroblastic, and spinocerebellar ataxia
OMIM:302350	Nance-Horan syndrome
OMIM:304110	Craniofrontonasal dysplasia
OMIM:305100	Ectodermal dysplasia 1, hypohidrotic, X-linked
OMIM:305400	Aarskog-Scott syndrome
OMIM:306955	Heterotaxy, visceral, 1, X-linked
OMIM:309300	Megalocornea 1, X-linked
OMIM:311200	Orofaciodigital syndrome I
OMIM:600138	Retinitis pigmentosa 11
OMIM:600373	CODAS syndrome
OMIM:600920	Van den Ende-Gupta syndrome
OMIM:601088	Ayme-Gripp syndrome
OMIM:601098	Charcot-Marie-Tooth disease, type 1C
OMIM:601144	Brugada syndrome 1
OMIM:601414	Retinitis pigmentosa 18
OMIM:601553	Hypotrichosis, congenital, with juvenile macular dystrophy
OMIM:601674	EZH1-related neurodevelopmental disorder
OMIM:601718	Retinitis pigmentosa 19
OMIM:601776	Ehlers-Danlos syndrome, musculocontractural type 1
OMIM:601869	Deafness, autosomal recessive 15
OMIM:601977	Thrombocythemia 2
OMIM:602342	Pierpont syndrome
OMIM:602398	Desmosterolosis
OMIM:602400	Ichthyosis, congenital, autosomal recessive 11
OMIM:602849	Muenke syndrome
OMIM:602875	Acromesomelic dysplasia 1, Maroteaux type
OMIM:603553	Hemophagocytic lymphohistiocytosis, familial, 2
OMIM:603671	Acromelic frontonasal dysostosis
OMIM:604173	Poikiloderma with neutropenia
OMIM:604187	Spastic paraplegia 10, autosomal dominant
OMIM:604213	Chudley-McCullough syndrome
OMIM:604377	Mitochondrial complex IV deficiency, nuclear type 2
OMIM:604772	Ventricular tachycardia, catecholaminergic polymorphic, 1
OMIM:604804	Microcephaly 3, primary, autosomal recessive
OMIM:604841	Stickler syndrome, type II
OMIM:605275	Noonan syndrome 2
OMIM:605282	Temtamy preaxial brachydactyly syndrome
OMIM:605911	HMG-CoA synthase-2 deficiency
OMIM:606217	Atrioventricular septal defect, partial, with heterotaxy syndrome
OMIM:606324	Parkinson disease 7, autosomal recessive early-onset
OMIM:606574	Albinism, oculocutaneous, type IV
OMIM:606658	Spinocerebellar ataxia 15
OMIM:606693	Kufor-Rakeb syndrome
OMIM:606854	Cortical dysplasia, complex, with other brain malformations 14A, (bilateral frontoparietal)
OMIM:606889	Alzheimer disease-4
OMIM:607259	Spastic paraplegia 7, autosomal recessive
OMIM:607330	Lathosterolosis
OMIM:607745	Seizures, benign familial infantile, 3
OMIM:608194	Cone-rod dystrophy 13
OMIM:608393	Microcephaly 6, primary, autosomal recessive
OMIM:608415	Prolonged electroretinal response suppression 1
OMIM:608716	Microcephaly 5, primary, autosomal recessive
OMIM:608776	Congenital disorder of glycosylation, type Il
OMIM:608908	Myopia 6
OMIM:609053	Fanconi anemia, complementation group I
OMIM:609192	Loeys-Dietz syndrome 1
OMIM:609200	Myopathy, myofibrillar, 3
OMIM:609260	Charcot-Marie-Tooth disease, axonal, type 2A2A
OMIM:609284	Congenital myopathy 4B, autosomal recessive
OMIM:609285	Congenital myopathy 23
OMIM:609322	Rhabdoid tumor predisposition syndrome 1
OMIM:609528	Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome
OMIM:609622	Short QT syndrome 3
OMIM:609637	Holoprosencephaly 5
OMIM:609942	Noonan syndrome 3
OMIM:610031	Cortical dysplasia, complex, with other brain malformations 7
OMIM:610042	Pitt-Hopkins like syndrome 1
OMIM:610168	Loeys-Dietz syndrome 2
OMIM:610253	Kleefstra syndrome 1
OMIM:610687	Nemaline myopathy 7, autosomal recessive
OMIM:610759	Cornelia de Lange syndrome 3
OMIM:610968	Osteogenesis imperfecta, type XI
OMIM:611091	Intellectual developmental disorder, autosomal recessive 5
OMIM:611182	Congenital disorder of glycosylation, type IIh
OMIM:611276	Glaucoma 1, open angle, H
OMIM:611431	Legius syndrome
OMIM:611590	Distal renal tubular acidosis 4 with hemolytic anemia
OMIM:612164	Developmental and epileptic encephalopathy 4
OMIM:612225	Maturity-onset diabetes of the young, type IX
OMIM:612313	Glass syndrome
OMIM:612463	Pseudopseudohypoparathyroidism
OMIM:612653	Spherocytosis, type 4
OMIM:612690	Spherocytosis, type 5
OMIM:612840	Leukocyte adhesion deficiency, type III
OMIM:612940	Cutis laxa, autosomal recessive, type IIB
OMIM:613115	Neuropathy, hereditary sensory and autonomic, type IIB
OMIM:613162	Spastic paraplegia 45, autosomal recessive
OMIM:613205	LMNA-related congenital muscular dystrophy
OMIM:613224	Noonan syndrome 6
OMIM:613254	Tuberous sclerosis-2
OMIM:613268	Corneal dystrophy, Fuchs endothelial, 4
OMIM:613454	Rett syndrome, congenital variant
OMIM:613477	Developmental and epileptic encephalopathy 5
OMIM:613684	Rubinstein-Taybi syndrome 2
OMIM:613717	Treacher Collins syndrome 2
OMIM:613721	Developmental and epileptic encephalopathy 11
OMIM:613750	Retinitis pigmentosa 27
OMIM:613795	Loeys-Dietz syndrome 3
OMIM:613826	Leber congenital amaurosis 6
OMIM:613849	Osteogenesis imperfecta, type XII
OMIM:613850	Inosine triphosphatase deficiency
OMIM:613990	Dyskeratosis congenita, autosomal dominant 3
OMIM:614021	Ventricular tachycardia, catecholaminergic polymorphic, 3
OMIM:614104	Intellectual developmental disorder, autosomal dominant 7
OMIM:614185	Geleophysic dysplasia 2
OMIM:614199	Nephrotic syndrome, type 5, with or without ocular abnormalities
OMIM:614249	Intellectual developmental disorder, autosomal recessive 18, with or without epilepsy
OMIM:614321	Myopathy, distal, Tateyama type
OMIM:614322	Spinocerebellar ataxia, autosomal recessive 12
OMIM:614608	Coffin-Siris syndrome 3
OMIM:614739	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome
OMIM:614800	Short stature, optic nerve atrophy, and Pelger-Huet anomaly
OMIM:614816	Loeys-Dietz syndrome 4
OMIM:614833	Microcephaly, short stature, and polymicrogyria with seizures
OMIM:614923	Branched-chain keto acid dehydrogenase kinase deficiency
OMIM:614931	Ectodermal dysplasia 9, hair/nail type
OMIM:614959	Developmental and epileptic encephalopathy 14
OMIM:615032	Intellectual developmental disorder with autism and macrocephaly
OMIM:615066	Osteogenesis imperfecta, type XIV
OMIM:615120	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects
OMIM:615193	Bleeding disorder, platelet-type, 15
OMIM:615220	Osteogenesis imperfecta, type XV
OMIM:615278	Cardiofaciocutaneous syndrome 2
OMIM:615349	Ehlers-Danlos syndrome, spondylodysplastic type, 2
OMIM:615471	Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)
OMIM:615473	Developmental and epileptic encephalopathy 17 
OMIM:615502	Intellectual developmental disorder, autosomal dominant 21
OMIM:615582	Loeys-Dietz syndrome 5
OMIM:615688	Vasculitis, autoinflammation, immunodeficiency, and hematologic defects syndrome
OMIM:615878	Cholestasis, progressive familial intrahepatic 4
OMIM:615981	Bardet-Biedl syndrome 2
OMIM:615982	Bardet-Biedl syndrome 4
OMIM:615983	Bardet-Biedl syndrome 5
OMIM:616211	Developmental and epileptic encephalopathy 28
OMIM:616224	Myasthenic syndrome, congenital, 22
OMIM:616247	Long QT syndrome 14
OMIM:616249	Long QT syndrome 15
OMIM:616276	Coenzyme Q10 deficiency, primary, 7
OMIM:616325	Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency
OMIM:616331	Robinow syndrome, autosomal dominant 2
OMIM:616354	Spinocerebellar ataxia, autosomal recessive 20
OMIM:616362	Houge-Janssen syndrome 2
OMIM:616364	White-Sutton syndrome
OMIM:616370	Multiple mitochondrial dysfunctions syndrome 4
OMIM:616390	Trichothiodystrophy 2, photosensitive
OMIM:616395	Trichothiodystrophy 3, photosensitive
OMIM:616457	"Developmental and epileptic encephalopathy 50	616457	AR	3	"
OMIM:616462	Acrofacial dysostosis, Cincinnati type
OMIM:616521	Intellectual developmental disorder, autosomal dominant 39
OMIM:616638	Smith-Kingsmore syndrome
OMIM:616829	Congenital disorder of glycosylation, type Iip
OMIM:616831	Luscan-Lumish syndrome
OMIM:616840	Parkinson disease 23, autosomal recessive, early onset
OMIM:616868	Diarrhea 8, secretory sodium, congenital
OMIM:616873	Immunodeficiency, common variable, 13
OMIM:616878	Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration
OMIM:616900	Hypotonia, infantile, with psychomotor retardation and characteristic facies 3
OMIM:616907	Spastic paraplegia 76, autosomal recessive
OMIM:616914	Marfan lipodystrophy syndrome
OMIM:616973	Intellectual developmental disorder, autosomal dominant 42
OMIM:616974	Combined oxidative phosphorylation deficiency 30
OMIM:616975	Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart
OMIM:617056	Tubulointerstitial kidney disease, autosomal dominant, 5
OMIM:617123	Retinitis pigmentosa 76
OMIM:617140	ZTTK SYNDROME
OMIM:617146	Arthrogryposis, distal, with impaired proprioception and touch
OMIM:617180	Chitayat syndrome
OMIM:617225	Spastic paraplegia 78, autosomal recessive
OMIM:617232	Muscular dystrophy, limb-girdle, autosomal recessive 21
OMIM:617297	Amelogenesis imperfecta, type IJ
OMIM:617333	Intellectual developmental disorder with dysmorphic facies and ptosis
OMIM:617402	Cutis laxa, autosomal recessive, type IIC
OMIM:617403	Cutis laxa, autosomal recessive, type IID
OMIM:617425	Immunoskeletal dysplasia with neurodevelopmental abnormalitie
OMIM:617433	Retinitis pigmentosa 78
OMIM:617452	Intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies
OMIM:617478	Structural heart defects and renal anomalies syndrome
OMIM:617516	Stankiewicz-Isidor syndrome
OMIM:617527	Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies
OMIM:617560	Spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy
OMIM:617616	Skraban-Deardorff syndrome
OMIM:617622	Joubert syndrome 30
OMIM:617668	Encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities
OMIM:617694	Al Kaissi syndrome
OMIM:617730	Galloway-Mowat syndrome 4
OMIM:617865	Neurodevelopmental disorder with movement abnormalities, abnormal gait, and autistic features
OMIM:618000	Ehlers-Danlos syndrome, classic-like, 2
OMIM:618089	Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities
OMIM:618164	Cardiac, facial, and digital anomalies with developmental delay
OMIM:618343	Polymicrogyria with or without vascular-type EDS
OMIM:618362	Coffin-Siris syndrome 8
OMIM:618443	Neurodevelopmental disorder with or without variable brain abnormalities
OMIM:618499	Noonan syndrome-11
OMIM:618505	Neurodevelopmental disorder with coarse facies and mild distal skeletal abnormalities
OMIM:618619	Weiss-Kruszka syndrome
OMIM:618882	Imerslund-Grasbeck syndrome 2
OMIM:619375	Autoinflammatory syndrome, familial, with or without immunodeficiency
OMIM:619656	Loeys-Dietz syndrome 6
OMIM:619657	Congenital heart defects, multiple types, 8, with or without heterotaxy
OMIM:619806	Spinocerebellar ataxia 49
OMIM:620139	Combined oxidative phosphorylation deficiency 56
OMIM:620155	Rabin-Pappas syndrome
OMIM:620157	Intellectual developmental disorder, autosomal dominant 70
OMIM:620344	Prolonged electroretinal response suppression 2
OMIM:620367	Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 8
OMIM:620371	Neurodevelopmental disorder with intracranial hemorrhage, seizures, and spasticity
OMIM:620375	Muscular dystrophy, limb-girdle, autosomal recessive 28
OMIM:620376	Autoinflammatory disease, systemic, with vasculitis
OMIM:620398	Glycine encephalopathy 2
OMIM:620402	Neuronopathy, distal hereditary motor, autosomal recessive 9
OMIM:620416	Spastic paraplegia 90A, autosomal dominant
OMIM:620417	Spastic paraplegia 90B, autosomal recessive
OMIM:620423	Multiple mitochondrial dysfunctions syndrome 7
OMIM:620427	Dystonia 37, early-onset, with striatal lesions
OMIM:620428	Neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities
OMIM:620430	Autoimmune disease, multisystem, infantile-onset, 3
OMIM:620449	Immunodeficiency 112
OMIM:620450	Intellectual developmental disorder, autosomal dominant 73
OMIM:620451	Combined oxidative phosphorylation deficiency 58
OMIM:620455	Neurodevelopmental disorder with hypotonia and speech delay, with or without seizures
OMIM:620456	Dystonia 22, adult-onset
OMIM:620458	Auriculocondylar syndrome 2B
OMIM:620459	Birt-Hogg-Dube syndrome 2
OMIM:620460	Oculopharyngeal muscular dystrophy 2
OMIM:620465	Epilepsy, early-onset, 3, with or without developmental delay
OMIM:620475	Thrombocytopenia 8, with dysmorphic features and developmental delay
OMIM:620494	Neurodevelopmental disorder with impaired language, behavioral abnormalities, and dysmorphic facies
OMIM:620502	Neurodevelopmental disorder with language delay and variable cognitive abnormalities
OMIM:620504	Developmental and epileptic encephalopathy 111
OMIM:620510	Xerosis and growth failure with immune and pulmonary dysfunction syndrome
OMIM:620511	Fliedner-Zweier syndrome
OMIM:620515	Neurodevelopmental disorder with motor regression, progressive spastic paraplegia, and oromotor dysfunction
OMIM:620519	Arrhythmogenic cardiomyopathy with variable ectodermal abnormalities
OMIM:620528	Neuronopathy, distal hereditary motor, autosomal dominant 11
OMIM:620535	Developmental delay, dysmorphic facies, and brain anomalies
OMIM:620537	Developmental and epileptic encephalopathy 112
OMIM:620538	Spastic paraplegia 91, autosomal dominant, with or without cerebellar ataxia
OMIM:620540	Developmental delay with or without epilepsy
OMIM:620542	Neuronopathy, distal hereditary motor, autosomal recessive 10
OMIM:620545	Arthrogryposis, distal, type 12
OMIM:620546	Congenital disorder of glycosylation, type IIbb
OMIM:620558	Craniometadiaphyseal osteosclerosis with hip dysplasia
OMIM:620565	Immunodeficiency 133 with autoimmunity and autoinflammation
OMIM:620568	Cornelia de Lange syndrome 6
OMIM:620570	Ciliary dyskinesia, primary, 52
OMIM:620601	Garg-Mishra progeroid syndrome
OMIM:620603	Immunodeficiency 114, folate-responsive
OMIM:620629	Optic atrophy 16
OMIM:620632	Immunodeficiency 115 with autoinflammation
OMIM:620636	Neurodegeneration, childhood-onset, with cerebellar ataxia and cognitive decline
OMIM:620641	Tan-Almurshedi syndrome
OMIM:620642	Ciliary dyskinesia, primary, 53
OMIM:620646	Combined oxidative phosphorylation deficiency 59
OMIM:620647	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 6
OMIM:620651	Diabetes, deafness, developmental delay, and short stature syndrome
OMIM:620653	Intellectual developmental disorder, autosomal recessive 80, with variant lissencephaly
OMIM:620654	Thrombocytopenia 11 with multiple congenital anomalies and dysmorphic facies
OMIM:620655	Alfadhel syndrome
OMIM:620657	Amyloidosis, hereditary systemic 3
OMIM:620658	Amyloidosis, hereditary systemic 5
OMIM:620659	Amyloidosis, hereditary systemic 6
OMIM:620662	Hoxha-Aliu syndrome
OMIM:620663	Spondyloepimetaphyseal dysplasia, Guo-Campeau type
OMIM:620666	Spastic ataxia 10, autosomal recessive
OMIM:620668	Immunodeficiency 117, mycobacteriosis, autosomal recessive
OMIM:620669	Neurodegeneration with brain iron accumulation 9
OMIM:620670	Immunodeficiency, common variable, 15
OMIM:620674	Neutropenia, severe congenital, 11, autosomal dominant
OMIM:620675	Leukodystrophy, hypomyelinating, 27
OMIM:620679	Lipodystrophy, familial partial, type 8
OMIM:620680	Lipodystrophy, congenital generalized, type 5
OMIM:620681	Myoclonic epilepsy of Lafora 2
OMIM:620683	Lipodystrophy, familial partial, type 9
OMIM:620686	Premature ovarian failure 23
OMIM:620688	Intellectual developmental disorder, autosomal dominant 74
OMIM:620698	Maple syrup urine disease, type Ib
OMIM:620699	Maple syrup urine disease, type II
OMIM:620700	Intellectual developmental disorder, autosomal recessive 81
OMIM:620703	Yuksel-Vogel-Bauser syndrome
OMIM:620704	Encephalopathy, porphyria-related
OMIM:620707	Epidermolytic hyperkeratosis 2B, autosomal recessive
OMIM:620711	Leukoencephalopathy, porphyria-related
OMIM:620712	Polydactyly-macrocephaly syndrome
OMIM:620714	Deafness, autosomal recessive 122
OMIM:620715	Bleeding disorder, vascular-type
OMIM:620718	Orofaciodigital syndrome XX
OMIM:620719	Neurodevelopmental disorder with motor abnormalities, seizures, and facial dysmorphism
OMIM:620726	Bethlem myopathy 1C
OMIM:620727	Ullrich congenital muscular dystrophy 1B
OMIM:620728	Ullrich congenital muscular dystrophy 1C
OMIM:620731	Microphthalmia/coloboma 11
OMIM:620732	Neurodevelopmental disorder with hyperkinetic movements, seizures and structural brain abnormalities
OMIM:620734	Cardiomyopathy, familial hypertrophic, 30, atrial
OMIM:620744	Spermatogenic failure 90
OMIM:620745	Deafness, autosomal recessive 123
OMIM:620746	Neurodevelopmental disorder with hypotonia and characteristic brain abnormalities
OMIM:620747	Neurodevelopmental disorder with early-onset parkinsonism and behavioral abnormalities
OMIM:620748	Megalencephaly-polydactyly syndrome
OMIM:620755	Generalized epilepsy with febrile seizures plus, type 12
OMIM:620762	Macular dystrophy with or without cone dysfunction
OMIM:620767	Seckel syndrome 11
OMIM:620771	Jeffries-Lakhani neurodevelopmental syndrome
OMIM:620772	Developmental and epileptic encephalopathy 113
OMIM:620774	Developmental and epileptic encephalopathy 114
OMIM:620775	Neuromuscular disorder, congenital, with dysmorphic facies
OMIM:620776	Thrombocytopenia 13, syndromic
OMIM:620777	Pulmonary hypertension, primary, 6
OMIM:620779	Intellectual developmental disorder, autosomal recessive 82
OMIM:620780	Cutis laxa, autosomal recessive, type ID
OMIM:620782	Neurodevelopmental disorder with language impairment, autism, and attention deficit-hyperactivity disorder
OMIM:620783	Developmental and epileptic encephalopathy 115
OMIM:620784	Neurodevelopmental disorder plus optic atrophy
OMIM:620785	Neurodevelopmental disorder with progressive movement abnormalities
OMIM:620786	Basal ganglia calcification, idiopathic, 9, autosomal recessive
OMIM:620789	Aplasia cutis-enamel dysplasia syndrome
OMIM:620790	Neurodevelopmental disorder with hypotonia and seizures
OMIM:620793	Muscular dystrophy, limb-girdle, autosomal recessive 29
OMIM:620794	Deafness, autosomal recessive 124
OMIM:620795	Autoinflammation with episodic fever and immune dysregulation
OMIM:620796	Proteasome-associated autoinflammatory syndrome 6
OMIM:620806	Developmental and epileptic encephalopathy 116
OMIM:620807	Immunodeficiency 121 with autoinflammation
OMIM:620813	MHC class I deficiency 2
OMIM:620814	MHC class I deficiency 3
OMIM:620815	MHC class II deficiency 2
OMIM:620816	MHC class II deficiency 3
OMIM:620817	MHC class II deficiency 4
OMIM:620819	Rothmund-Thomson syndrome, type 4
OMIM:620820	El Hayek-Chahrour neurodevelopmental syndrome
OMIM:620825	Immunodeficiency 119
OMIM:620830	Auroneurodental syndrome
OMIM:620836	Immunodeficiency 120
OMIM:620838	Spermatogenic failure 91
OMIM:620840	Premature ovarian failure 24
OMIM:620848	Spermatogenic failure 92
OMIM:620849	Spermatogenic failure 93
OMIM:620850	Spermatogenic failure 94
OMIM:620851	ReNU syndrome
OMIM:620852	Neurodevelopemental disorder with hypotonia, feeding difficulties, facial dysmorphism, and brain abnormalities
OMIM:620865	Ehlers-Danlos syndrome, classic-like, 3
OMIM:620877	Deafness, autosomal recessive 125
OMIM:620880	Autoinflammation with arthritis and vasculitis
OMIM:620897	Ovarian dysgenesis 11
OMIM:620901	Immunodeficiency 123 with HPV-related verrucosis
OMIM:620903	Polycystic kidney disease 8
OMIM:620938	Spastic paraplegia 93, autosomal recessive
OMIM:620988	Intellectual developmental disorder, autosomal dominant 75
OMIM:621001	Spermatogenic failure 96
OMIM:621002	Premature ovarian failure 25
OMIM:621018	Basal ganglia calcification, idiopathic, 10, autosomal recessive
