omim_id,path,n_chars,n_lines
216550,data/synthetic_reports/by_omim/216550.txt,661,4
219100,data/synthetic_reports/by_omim/219100.txt,724,4
220400,data/synthetic_reports/by_omim/220400.txt,703,4
222300,data/synthetic_reports/by_omim/222300.txt,732,4
222470,data/synthetic_reports/by_omim/222470.txt,855,4
223800,data/synthetic_reports/by_omim/223800.txt,607,4
227645,data/synthetic_reports/by_omim/227645.txt,539,4
228600,data/synthetic_reports/by_omim/228600.txt,629,4
230400,data/synthetic_reports/by_omim/230400.txt,576,4
230650,data/synthetic_reports/by_omim/230650.txt,770,4
230740,data/synthetic_reports/by_omim/230740.txt,688,4
231050,data/synthetic_reports/by_omim/231050.txt,739,4
231670,data/synthetic_reports/by_omim/231670.txt,571,4
232700,data/synthetic_reports/by_omim/232700.txt,525,4
233710,data/synthetic_reports/by_omim/233710.txt,898,4
234200,data/synthetic_reports/by_omim/234200.txt,761,4
236200,data/synthetic_reports/by_omim/236200.txt,719,4
240300,data/synthetic_reports/by_omim/240300.txt,763,4
241850,data/synthetic_reports/by_omim/241850.txt,718,4
242840,data/synthetic_reports/by_omim/242840.txt,923,4
243700,data/synthetic_reports/by_omim/243700.txt,790,4
245200,data/synthetic_reports/by_omim/245200.txt,710,4
246200,data/synthetic_reports/by_omim/246200.txt,707,4
248250,data/synthetic_reports/by_omim/248250.txt,693,4
250410,data/synthetic_reports/by_omim/250410.txt,749,4
252600,data/synthetic_reports/by_omim/252600.txt,643,4
252650,data/synthetic_reports/by_omim/252650.txt,566,4
256300,data/synthetic_reports/by_omim/256300.txt,565,4
256500,data/synthetic_reports/by_omim/256500.txt,569,4
256540,data/synthetic_reports/by_omim/256540.txt,644,4
256810,data/synthetic_reports/by_omim/256810.txt,551,4
257220,data/synthetic_reports/by_omim/257220.txt,545,4
258480,data/synthetic_reports/by_omim/258480.txt,490,4
259440,data/synthetic_reports/by_omim/259440.txt,514,4
260000,data/synthetic_reports/by_omim/260000.txt,717,4
260300,data/synthetic_reports/by_omim/260300.txt,629,4
264700,data/synthetic_reports/by_omim/264700.txt,614,4
266265,data/synthetic_reports/by_omim/266265.txt,576,4
268310,data/synthetic_reports/by_omim/268310.txt,577,4
269150,data/synthetic_reports/by_omim/269150.txt,606,4
270400,data/synthetic_reports/by_omim/270400.txt,455,4
270420,data/synthetic_reports/by_omim/270420.txt,532,4
271640,data/synthetic_reports/by_omim/271640.txt,455,4
272300,data/synthetic_reports/by_omim/272300.txt,540,4
273900,data/synthetic_reports/by_omim/273900.txt,754,4
275400,data/synthetic_reports/by_omim/275400.txt,660,4
277300,data/synthetic_reports/by_omim/277300.txt,588,4
277600,data/synthetic_reports/by_omim/277600.txt,739,4
277700,data/synthetic_reports/by_omim/277700.txt,794,4
300088,data/synthetic_reports/by_omim/300088.txt,759,4
300209,data/synthetic_reports/by_omim/300209.txt,558,4
300352,data/synthetic_reports/by_omim/300352.txt,527,4
300707,data/synthetic_reports/by_omim/300707.txt,488,4
300804,data/synthetic_reports/by_omim/300804.txt,499,4
300867,data/synthetic_reports/by_omim/300867.txt,738,4
300868,data/synthetic_reports/by_omim/300868.txt,513,4
301040,data/synthetic_reports/by_omim/301040.txt,436,4
301072,data/synthetic_reports/by_omim/301072.txt,558,4
301109,data/synthetic_reports/by_omim/301109.txt,672,4
301111,data/synthetic_reports/by_omim/301111.txt,534,4
301114,data/synthetic_reports/by_omim/301114.txt,534,4
301115,data/synthetic_reports/by_omim/301115.txt,604,4
301116,data/synthetic_reports/by_omim/301116.txt,493,4
301118,data/synthetic_reports/by_omim/301118.txt,587,4
301119,data/synthetic_reports/by_omim/301119.txt,670,4
301134,data/synthetic_reports/by_omim/301134.txt,486,4
301310,data/synthetic_reports/by_omim/301310.txt,580,4
302350,data/synthetic_reports/by_omim/302350.txt,547,4
304110,data/synthetic_reports/by_omim/304110.txt,481,4
305100,data/synthetic_reports/by_omim/305100.txt,541,4
305400,data/synthetic_reports/by_omim/305400.txt,579,4
306955,data/synthetic_reports/by_omim/306955.txt,558,4
309300,data/synthetic_reports/by_omim/309300.txt,435,4
311200,data/synthetic_reports/by_omim/311200.txt,492,4
600138,data/synthetic_reports/by_omim/600138.txt,474,4
600373,data/synthetic_reports/by_omim/600373.txt,495,4
600920,data/synthetic_reports/by_omim/600920.txt,456,4
601088,data/synthetic_reports/by_omim/601088.txt,455,4
601098,data/synthetic_reports/by_omim/601098.txt,571,4
601144,data/synthetic_reports/by_omim/601144.txt,4125,14
601776,data/synthetic_reports/by_omim/601776.txt,4441,14
602400,data/synthetic_reports/by_omim/602400.txt,4412,14
604173,data/synthetic_reports/by_omim/604173.txt,4062,14
604804,data/synthetic_reports/by_omim/604804.txt,6895,29
606854,data/synthetic_reports/by_omim/606854.txt,5972,29
608908,data/synthetic_reports/by_omim/608908.txt,5819,29
609637,data/synthetic_reports/by_omim/609637.txt,4861,29
611182,data/synthetic_reports/by_omim/611182.txt,4720,29
612840,data/synthetic_reports/by_omim/612840.txt,7904,31
613684,data/synthetic_reports/by_omim/613684.txt,6392,29
614104,data/synthetic_reports/by_omim/614104.txt,6173,29
614833,data/synthetic_reports/by_omim/614833.txt,6683,29
615349,data/synthetic_reports/by_omim/615349.txt,5912,29
616211,data/synthetic_reports/by_omim/616211.txt,5616,29
616370,data/synthetic_reports/by_omim/616370.txt,5696,29
616868,data/synthetic_reports/by_omim/616868.txt,6076,29
617123,data/synthetic_reports/by_omim/617123.txt,7567,29
617425,data/synthetic_reports/by_omim/617425.txt,6418,29
617694,data/synthetic_reports/by_omim/617694.txt,5625,29
618505,data/synthetic_reports/by_omim/618505.txt,6740,29
620344,data/synthetic_reports/by_omim/620344.txt,6103,29
620427,data/synthetic_reports/by_omim/620427.txt,6749,29
620460,data/synthetic_reports/by_omim/620460.txt,6508,29
620528,data/synthetic_reports/by_omim/620528.txt,6397,29
620568,data/synthetic_reports/by_omim/620568.txt,6023,29
620647,data/synthetic_reports/by_omim/620647.txt,6760,29
620666,data/synthetic_reports/by_omim/620666.txt,6259,29
620686,data/synthetic_reports/by_omim/620686.txt,5995,29
620714,data/synthetic_reports/by_omim/620714.txt,6578,29
620744,data/synthetic_reports/by_omim/620744.txt,6005,29
620774,data/synthetic_reports/by_omim/620774.txt,7324,29
620786,data/synthetic_reports/by_omim/620786.txt,7543,29
620814,data/synthetic_reports/by_omim/620814.txt,6663,29
620840,data/synthetic_reports/by_omim/620840.txt,6086,29
620901,data/synthetic_reports/by_omim/620901.txt,5053,20
